,id,vf_prob,Exotoxin,Stress survival,Biofilm,Immune modulation,Invasion,Adherence,Effector delivery system,Nutritional/Metabolic factor,Motility,Antimicrobial activity/Competitive advantage,Others,Post-translational modification,Exoenzyme,Regulation
0,VFG037170(gb|WP_001081754),0.856,0.995,0.991,0.003,0.001,0.001,0.002,0.002,0.002,0.003,0.001,0.0,0.001,0.009,0.0
1,VFG037172(gb|WP_001081748),0.818,0.995,0.991,0.003,0.001,0.001,0.002,0.002,0.002,0.003,0.001,0.0,0.001,0.009,0.0
2,VFG037176(gb|WP_001081735),0.821,0.994,0.992,0.003,0.001,0.001,0.002,0.002,0.002,0.003,0.001,0.0,0.001,0.009,0.0
3,VFG037179(gb|YP_001085084),0.682,0.982,0.98,0.004,0.009,0.001,0.0,0.003,0.012,0.012,0.001,0.0,0.008,0.032,0.0
4,VFG037184(gb|WP_001081758),0.857,0.995,0.99,0.003,0.001,0.001,0.001,0.002,0.002,0.004,0.001,0.0,0.001,0.008,0.0
5,VFG037186(gb|WP_001081765),0.829,0.993,0.991,0.003,0.001,0.001,0.002,0.002,0.002,0.003,0.001,0.0,0.001,0.009,0.0
6,VFG037189(gb|WP_000632992),0.955,0.993,0.991,0.002,0.002,0.001,0.0,0.003,0.002,0.003,0.001,0.0,0.002,0.014,0.0
7,VFG037195(gb|WP_000633005),0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,sp|A0R6D9|MAK_MYCS2,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,sp|A0R6H7|IRTB_MYCS2,0.926,0.873,0.002,0.0,0.996,0.004,0.0,0.001,1.0,0.002,0.0,0.006,0.0,0.0,0.0
10,sp|A0R7F9|RS6_MYCS2,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,sp|A0R7G6|INO1_MYCS2,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
